çÜã@,CNCÉÜÉjÉbÉg,Ver,êßå‰ìdà≥,SERVO,Xóeó ,Yóeó ,Zóeó ,Aóeó ,Bóeó ,Cóeó ,XÉAÉìÉv,YÉAÉìÉv,ZÉAÉìÉv,AÉAÉìÉv,BÉAÉìÉv,CÉAÉìÉv,-BÇ»ÇﬂÇÁÇ©ï‚ê≥,-DãÏìÆ
10,18i-M,,AC200V,90B1/0004,20A,40A,80A,160A,,,A06B-6114-H206,A06B-6114-H206,A06B-6114-H210,A06B-6114-H210,,,Å~,Å~
11,18i-M,,AC200V,90B0/0025,20A,20A,40A,40A,,,A06B-6114-H205,A06B-6114-H205,A06B-6114-H207,A06B-6114-H207,,,Å~,Å~
14,18i-B,,AC200V,90B6/0001,40A,80A,160A,160A,,,A06B-6114-H208,A06B-6114-H208,A06B-6114-H211,A06B-6114-H211,,,Å~,Å~
16,18i-M,,AC200V,90B6/0001,20A,40A,80A,160A,,,A06B-6114-H206,A06B-6114-H206,A06B-6114-H210,A06B-6114-H210,,,Å~,Å~
17,18i-MB,,AC200V,90B6/0001,160A,160A,160A,160A,,,A06B-6114-H210,A06B-6114-H210,A06B-6114-H210,A06B-6114-H210,,,Å~,Å~
20,31i-MA,11.0,AC200V,90E0/0014,80A,160A,80A,160A,,,A06B-6117-H210,A06B-6117-H210,A06B-6117-H210,A06B-6117-H210,,,Å~,Å~
21,31i-MA,11.0,AC200V,90E0/0014,80A,80A,160A,160A,,,A06B-6117-H210,A06B-6117-H210,A06B-6117-H210,A06B-6117-H210,,,Å~,Å~
22,31i-MA,78.0,AC200V,90E1/10.0,20A,40A,80A,160A,,,A06B-6114-H206,A06B-6114-H206,A06B-6114-H210,A06B-6114-H210,,,Å~,Å~
23,31i-MA,18.0,AC200V,90E0/0016,20A,20A,40A,80A,80A,160A,A06B-6117-H205,A06B-6117-H205,A06B-6117-H208,A06B-6117-H208,A06B-6117-H210,A06B-6117-H210,Å~,Å~
24,Oi-MD,13.0,AC200V,90C5/0004,80A,80A,,,,,A06B-6117-H209,A06B-6117-H209,,,,,Å~,Å~
25,Oi-MD,18.0,AC200V,90C5/0004,80A,80A,,,,,A06B-6117-H209,A06B-6117-H209,,,,,Å~,Å~
26,Oi-MD,18.0,AC200V,90C5/0004,80A,80A,,,,,A06B-6117-H209,A06B-6117-H209,,,,,Å~,Å~
27,Oi-MD,22.0,AV400V,90C5/0006 90C8/0004,20A,40A,40A,80A,,,A06B-6127-H206,A06B-6127-H206,A06B-6127-H208,A06B-6127-H208,,,Å~,Å~
28,Oi-MD,22.0,AV400V,90C5/0006 90C8/0003,20A,40A,40A,80A,,,A06B-6127-H206,A06B-6127-H206,A06B-6127-H208,A06B-6127-H208,,,Å~,Å~
29,Oi-MD,22.0,AC200V,90C5/0006 90C8/0003,20A,20A,40A,40A,,,A06B-6117-H205,A06B-6117-H205,A06B-6117-H207,A06B-6117-H207,,,Å~,Å~
31,35i-MB,39.0,AC200V,90J0/26.0,40A,40A,80A,80A,,,A06B-6240-H207,A06B-6240-H207,A06B-6240-H209,A06B-6240-H209,,,Åõ,Åõ
80,Oi-MD,13.0,AC200V,90C5/0004,80A,80A,,,,,A06B-6117-H209,A06B-6117-H209,,,,,Å~,Å~
81,Oi-MD,45.0,AC200V,90C5/0006 90C8/06.0,40A,40A,,,,,A06B-6114-H207,A06B-6114-H207,,,,,Å~,Å~
82,35i-MB,39.0,AC200V,90J0/26.0,20A,40A,80A,160A,,,A06B-6240-H206,A06B-6240-H206,A06B-6240-H210,A06B-6240-H210,,,Åõ,Åõ
83,Oi-MD,47.0,AC200V,90C5/0006 90C8/06.0,80A,80A,,,,,A06B-6117-H209,A06B-6117-H209,,,,,Å~,Å~
84,35i-MB,39.0,AC200V,90J0/26.0,80A,160A,80A,160A,,,A06B-6240-H210,A06B-6240-H210,A06B-6240-H210,A06B-6240-H210,,,Åõ,Åõ
85,Oi-MD,51.0,AC200V,90C5/0006 90C8/06.0,40A,80A,,,,,A06B-6117-H208,A06B-6117-H208,,,,,Å~,Å~
86,Oi-MD,51.0,AC200V,90C5/0006 90C8/06.0,40A,80A,,,,,A06B-6117-H208,A06B-6117-H208,,,,,Å~,Å~
