型式,クローズ,多軸,MINA,MINB,MAXA,MAXB,歯数,,,,,傾きH,傾きW,,
RTH-538,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-538
RB-250,,,-0.6,23,-2,85,,,,,,3,5,,RB-250
RB-250,Ri,,-0.6,23,-2,85,,,,,,3,5,,RB-250Ri
RB-300,,,-0.6,23,-2,85,,,,,,3,5,,RB-300
RB-300,Ri,,-0.6,23,-2,85,,,,,,3,5,,RB-300Ri
RB-400,Ri,,-0.6,23,-2,85,,,,,,3,5,,RB-400Ri
RB-400,,,-0.6,23,-1.75,75,,,,,,3,5,,RB-400
RB-500,,,-0.6,23,-1.75,75,,,,,,3,5,,RB-500
RBA-250,,,-0.6,23,-2,85,,,,,,3,5,,RBA-250
RBA-320,,,-0.6,23,-2,85,,,,,,3,5,,RBA-320
RBA-400,,,-0.6,23,-1.75,75,,,,,,3,5,,RBA-400
RBA-500,,,-0.6,23,-1.75,75,,,,,,3,5,,RBA-500
RBS-160,,,,5,,15,,,,,,3,5,,RBS-160
RBS-250,,,,5,,15,,,,,,3,5,,RBS-250
RBS-320,,,,5,,15,,,,,,3,5,,RBS-320
RC-250,,,-0.6,24,-1.75,85,,,,,,4,7,,RC-250
RC-300,,,-0.6,24,-1.7,80,,,,,,4,7,,RC-300
RC-400,,,-0.6,24,-1.7,80,,,,,,4,7,,RC-400
RC-500,,,-0.6,24,-1.7,80,,,,,,4,7,,RC-500
RCB-350,,,-0.4,23,-1.18,82.1,,,,,,3,5,,RCB-350
RCB-450,,,-0.4,23,-1.18,73.5,,,,,,3,5,,RCB-450
RCB-550,,,-0.4,23,-1.18,73.5,,,,,,3,5,,RCB-550
RCH-1000,,,,7,,30,,,,,,3,5,,RCH-1000
RCH-1250,,,,7,,30,,,,,,3,5,,RCH-1250
RCH-800,,,,7,,30,,,,,,3,5,,RCH-800
RCK-250,,,-0.6,24,-1.75,85,,,,,,5,5,,RCK-250
RCK-300,,,-0.6,24,-1.7,80,,,,,,5,5,,RCK-300
RCK-400,,,-0.6,24,-1.7,80,,,,,,5,5,,RCK-400
RCK-500,,,-0.6,24,-1.7,80,,,,,,3,5,,RCK-500
RCV-1000,,,,7,,30,,,,,,3,5,,RCV-1000
RCV-800,,,,7,,30,,,,,,3,5,,RCV-800
RCX-300,,,-0.6,24,-1.75,75,,,,,,5,5,,RCX-300
RCX-400,,,-0.6,24,-1.7,75,,,,,,5,5,,RCX-400
RDS-200,,,,0,,15,,,,,,3,5,,RDS-200
RG-160,,,,5,,15,,,,,,3,5,,RG-160
RG-250,,,,5,,15,,,,,,3,5,,RG-250
RH-400,,,-0.6,23,-1.75,75,,,,,,3,5,,RH-400
RH-500,,,-0.6,23,-1.75,75,,,,,,3,5,,RH-500
RH-600,,,-0.6,23,-1.75,75,,,,,,3,5,,RH-600
RH-600,,P,-0.6,23,-1.75,75,,,,,,3,5,,RH-600P
RN-100,,,-0.6,24,-1.75,125,36,1.75,7.854,7.654,100,7,7,,RN-100
