回転,,,,,,,,,,,,傾斜
型式,クローズ,間隔H,間隔W,1/N_H,1/N_W,分割数1,分割数2,測定順HR,測定順WR,測定順WL,測定順HL,
RTH-538,,80000,2400,1,1,45,10,1,2,3,4,
RBS-160,,100000,10000,1,1,36,10,1,2,3,4,
RBS-250,,100000,10000,1,1,36,10,1,2,3,4,
RBS-320,,100000,10000,1,1,36,10,1,2,3,4,
RWH-320,,300000,3000,3,1,12,10,1,2,3,4,
RWH-250,,300000,3000,3,1,12,10,1,2,3,4,
RWH-200,,300000,3000,3,1,12,10,1,2,3,4,
RWH-160,,300000,3000,3,1,12,10,1,2,3,4,
TWA-200,RE,120000,3600,1,1,30,20,1,2,3,4,
RWA-320,,300000,3000,3,1,12,10,1,2,3,4,
RB-250,Ri,100000,1500,1,1,36,8,1,3,4,2,
RB-250,,100000,3000,1,1,36,10,1,2,3,4,
RB-300,Ri,100000,730,1,1,36,8,1,3,4,2,
RB-300,,100000,3000,1,1,36,10,1,2,3,4,
RB-400,Ri,100000,730,1,1,36,8,1,3,4,2,
RB-400,,100000,3000,1,1,36,10,1,2,3,4,
RB-500,,100000,3000,1,1,36,10,1,2,3,4,
RBA-250,,100000,3000,1,1,36,10,1,2,3,4,
RBA-320,,100000,3000,1,1,36,10,1,2,3,4,
RBA-400,,100000,3000,1,1,36,10,1,2,3,4,
RBA-500,,100000,3000,1,1,36,10,1,2,3,4,
RBS-160,,100000,10000,1,1,36,10,1,2,3,4,
RBS-250,,100000,10000,1,1,36,10,1,2,3,4,
RBS-320,,100000,10000,1,1,36,10,1,2,3,4,
RC-250,,100000,3000,1,1,36,20,1,2,3,4,
RC-300,,80000,2400,1,1,45,20,1,2,3,4,
RC-400,,80000,2400,1,1,45,20,1,2,3,4,
RC-500,,80000,2400,1,1,45,10,1,2,3,4,
RCB-350,,100000,3000,1,1,36,10,1,2,3,4,
RCB-450,,100000,3000,1,1,36,10,1,2,3,4,
RCB-550,,100000,3000,1,1,36,10,1,2,3,4,
RCH-800,,60000,1800,1,1,60,10,1,2,3,4,
RCH-1000,,50000,1500,1,1,72,10,1,2,3,4,
RCH-1250,,50000,1500,1,1,72,10,1,2,3,4,
RCK-250,,100000,3000,1,1,36,10,1,2,3,4,
RCK-300,,80000,2400,1,1,45,10,1,2,3,4,
RCK-400,,80000,2400,1,1,45,10,1,2,3,4,
RCK-500,,80000,2400,1,1,45,10,1,2,3,4,
RCV-800,,60000,1800,1,1,60,10,1,2,3,4,
RCV-1000,,50000,1500,1,1,72,10,1,2,3,4,
RCX-300,,80000,2400,1,1,45,10,1,2,3,4,
RCX-400,,80000,2400,1,1,45,10,1,2,3,4,
RDS-200,,111500,412,1,1,32,10,1,3,4,2,
RG-160,,100000,10000,1,1,36,10,1,2,3,4,
RG-250,,100000,10000,1,1,36,10,1,2,3,4,
RH-400,,100000,3000,1,1,36,10,1,2,3,4,
RH-500,,100000,3000,1,1,36,10,1,2,3,4,
RH-600,,100000,3000,1,1,36,10,1,2,3,4,
RN-100,,100000,10000,1,1,36,10,1,2,3,4,
RN-101,,100000,3000,1,1,36,10,1,2,3,4,
RN-150,,100000,3000,1,1,36,10,1,2,3,4,
RN-200,,100000,3000,1,1,36,10,1,2,3,4,
RN-250,,100000,3000,1,1,36,10,1,2,3,4,
RN-300,,100000,3000,1,1,36,10,1,2,3,4,
RNA-160,,100000,3000,1,1,36,10,1,2,3,4,
RNA-161,,100000,3000,1,1,36,10,1,2,3,4,
RNA-200,,100000,3000,1,1,36,10,1,2,3,4,
RNA-201,,100000,3000,1,1,36,10,1,2,3,4,
RNA-250,,100000,3000,1,1,36,10,1,2,3,4,
RNA-251,,100000,3000,1,1,36,10,1,2,3,4,
RNA-320,,100000,3000,1,1,36,10,1,2,3,4,
RNA-321,,100000,3000,1,1,36,10,1,2,3,4,
RNAS-250,,100000,3000,1,1,36,20,1,2,3,4,
RNAS-320,,100000,3000,1,1,36,20,1,2,3,4,
RNC-1001,Ri,100000,730,1,1,36,8,1,3,4,2,
RNC-1001,,60000,1800,1,1,60,10,1,2,3,4,
RNC-1201,Ri,100000,730,1,1,36,8,1,3,4,2,
RNC-1201,,40000,1200,1,1,90,10,1,2,3,4,
RNC-1501,Ri,100000,730,1,1,36,8,1,3,4,2,
RNC-1501,,40000,1200,1,1,90,10,1,2,3,4,
RNC-2001,Ri,100000,730,1,1,36,8,1,3,4,2,
RNC-2001,,40000,1200,1,1,90,10,1,2,3,4,
RNC-405,,80000,2400,1,1,45,20,1,2,3,4,
RNC-505,,80000,2400,1,1,45,10,1,2,3,4,
RNC-801,Ri,100000,730,1,1,36,8,1,3,4,2,
RNC-801,,60000,1800,1,1,60,10,1,2,3,4,
RNCB-402,,100000,3000,1,1,36,20,1,2,3,4,
RNCB-501,,100000,3000,1,1,36,20,1,2,3,4,
RNCB-631,,80000,2400,1,1,45,10,1,2,3,4,
RNCK-301,Ri,100000,1500,1,1,36,8,1,3,4,2,
RNCK-301,,100000,3000,1,1,36,10,1,2,3,4,
RNCK-401,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCK-401,,100000,3000,1,1,36,10,1,2,3,4,
RNCK-501,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCK-501,,100000,3000,1,1,36,10,1,2,3,4,
RNCK-501Ri,,100000,730,1,1,36,8,1,3,4,2,
RNCK-631,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCK-631,,80000,2400,1,1,45,10,1,2,3,4,
RNCM-251,Ri,100000,1500,1,1,36,8,1,3,4,2,
RNCM-251,,100000,3000,1,1,36,10,1,2,3,4,
RNCM-301,Ri,100000,1500,1,1,36,8,1,3,4,2,
RNCM-301,,100000,3000,1,1,36,10,1,2,3,4,
RNCM-401,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCM-401,,100000,3000,1,1,36,10,1,2,3,4,
RNCM-501,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCM-501,,100000,3000,1,1,36,10,1,2,3,4,
RNCM-631,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCM-631,,80000,2400,1,1,45,10,1,2,3,4,
RNCV-1001,RE,100000,3.6,1,1,36,10,1,3,4,2,
RNCV-1001,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCV-1001,,50000,1500,1,1,72,10,1,2,3,4,
RNCV-1201,RE,100000,3.6,1,1,36,10,1,3,4,2,
RNCV-1201,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCV-1201,,40000,1200,1,1,90,10,1,2,3,4,
RNCV-1501,RE,100000,3.6,1,1,36,10,1,3,4,2,
RNCV-1501,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCV-1501,,40000,1200,1,1,90,10,1,2,3,4,
RNCV-151,,50000,3000,1,1,36,10,1,2,3,4,
RNCV-201,RE,100000,3.6,1,1,36,10,1,3,4,2,
RNCV-201,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCV-201,,100000,3000,1,1,36,10,1,2,3,4,
RNCV-301,RE,100000,3.6,1,1,36,10,1,3,4,2,
RNCV-301,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCV-301,,100000,3000,1,1,36,10,1,2,3,4,
RNCV-401,RE,100000,3.6,1,1,36,10,1,3,4,2,
RNCV-401,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCV-401,,100000,3000,1,1,36,10,1,2,3,4,
RNCV-801,RE,100000,3.6,1,1,36,10,1,3,4,2,
RNCV-801,Ri,100000,730,1,1,36,8,1,3,4,2,
RNCV-801,,60000,1800,1,1,60,10,1,2,3,4,
RNE-160,,300000,3000,3,1,12,10,1,2,3,4,
RNE-200,,300000,3000,3,1,12,10,1,2,3,4,
RNE-250,,300000,3000,3,1,12,10,1,2,3,4,
RNE-320,,300000,3000,3,1,12,10,1,2,3,4,
RT-1,,100000,3000,1,1,36,10,1,2,3,4,
RT-7,,50000,1700,1,1,72,10,1,2,3,4,
RT-104,,60000,1800,1,1,60,10,1,2,3,4,
RT-105,,100000,3000,1,1,36,10,1,2,3,4,
RT-106,,80000,2400,1,1,45,10,1,2,3,4,
RT-110,,100000,3000,1,1,36,10,1,2,3,4,
RT-113,,80000,2400,1,1,45,10,1,2,3,4,
RT-120,,100000,3000,1,1,36,10,1,2,3,4,
RT-122,,60000,3600,1,1,60,10,1,2,3,4,
RT-124,,100000,3000,1,1,36,10,1,2,3,4,
RT-126,,60000,1800,1,1,60,10,1,2,3,4,
RT-129,,100000,10000,1,1,36,10,1,2,3,4,
RT-132,,80000,2400,1,1,45,20,1,2,3,4,
RT-133,,80000,2400,1,1,45,20,1,2,3,4,
RT-135,,100000,3000,1,1,36,10,1,2,3,4,
RT-137,,80000,2400,1,1,45,20,1,2,3,4,
RT-138,,100000,3000,1,1,36,10,1,2,3,4,
RT-146,,100000,3000,1,1,36,10,1,2,3,4,
RT-147,,80000,2400,1,1,45,20,1,2,3,4,
RT-148,,60000,1800,1,1,60,10,1,2,3,4,
RT-149,,100000,3000,1,1,36,10,1,2,3,4,
RT-151,,100000,3000,1,1,36,20,1,2,3,4,
RT-152,,100000,3000,1,1,36,20,1,2,3,4,
RT-154,,60000,1800,1,1,60,10,1,2,3,4,
RT-155,,100000,10000,1,1,36,10,1,2,3,4,
RT-156,,60000,1800,1,1,60,10,1,2,3,4,
RT-157,,100000,10000,1,1,36,10,1,2,3,4,
RT-158,,100000,3000,1,1,36,10,1,2,3,4,
RT-159,,100000,10000,1,1,36,10,1,2,3,4,
RT-160,,80000,2400,1,1,45,20,1,2,3,4,
RT-162,,80000,2400,1,1,45,10,1,2,3,4,
RT-163,,80000,2400,1,1,45,10,1,2,3,4,
RT-164,,100000,200000,1,1,36,18,1,3,4,2,
RT-166,,80000,2400,1,1,45,10,1,2,3,4,
RT-169,,100000,3000,1,1,36,10,1,2,3,4,
RT-170,,80000,2400,1,1,45,10,1,2,3,4,
RT-171,,80000,2400,1,1,45,20,1,2,3,4,
RT-173,,100000,3000,1,1,36,10,1,2,3,4,
RT-174,,120000,3600,1,1,30,10,1,2,3,4,
RT-176,,100000,3000,1,1,36,10,1,2,3,4,
RT-177,,100000,200000,1,1,36,18,1,3,4,2,
